1st choice,2nd choice,3rd choice,weight
Abdi Gurhan Mohamed,Abdi Gurhan Mohamed,Abdi Gurhan Mohamed,313
Abdi Gurhan Mohamed,Abdi Gurhan Mohamed,Ak Hassan,8
Abdi Gurhan Mohamed,Abdi Gurhan Mohamed,Charles Exner,2
Abdi Gurhan Mohamed,Abdi Gurhan Mohamed,Uwi,2
Abdi Gurhan Mohamed,Ak Hassan,Abdi Gurhan Mohamed,18
Abdi Gurhan Mohamed,Ak Hassan,Ak Hassan,6
Abdi Gurhan Mohamed,Ak Hassan,Charles Exner,1009
Abdi Gurhan Mohamed,Ak Hassan,Uwi,19
Abdi Gurhan Mohamed,Charles Exner,Abdi Gurhan Mohamed,8
Abdi Gurhan Mohamed,Charles Exner,Ak Hassan,392
Abdi Gurhan Mohamed,Charles Exner,Charles Exner,4
Abdi Gurhan Mohamed,Charles Exner,Uwi,4
Abdi Gurhan Mohamed,Uwi,Ak Hassan,1
Abdi Gurhan Mohamed,Uwi,Charles Exner,1
Abdi Gurhan Mohamed,Uwi,Uwi,11
Abdi Warsame,Abdi Warsame,Abdi Warsame,313
Abdi Warsame,Abdi Warsame,Fadumo Yusuf,1
Abdi Warsame,Abdi Warsame,Mohamud Noor,4
Abdi Warsame,Fadumo Yusuf,Abdi Warsame,5
Abdi Warsame,Fadumo Yusuf,Mohamud Noor,59
Abdi Warsame,Fadumo Yusuf,Uwi,2
Abdi Warsame,Mohamud Noor,Abdi Warsame,16
Abdi Warsame,Mohamud Noor,Fadumo Yusuf,245
Abdi Warsame,Mohamud Noor,Mohamud Noor,14
Abdi Warsame,Mohamud Noor,Uwi,47
Abdi Warsame,Uwi,Mohamud Noor,1
Abdi Warsame,Uwi,Uwi,5
Ak Hassan,Abdi Gurhan Mohamed,Abdi Gurhan Mohamed,4
Ak Hassan,Abdi Gurhan Mohamed,Ak Hassan,13
Ak Hassan,Abdi Gurhan Mohamed,Charles Exner,1450
Ak Hassan,Abdi Gurhan Mohamed,Uwi,42
Ak Hassan,Ak Hassan,Abdi Gurhan Mohamed,9
Ak Hassan,Ak Hassan,Ak Hassan,462
Ak Hassan,Ak Hassan,Charles Exner,5
Ak Hassan,Charles Exner,Abdi Gurhan Mohamed,633
Ak Hassan,Charles Exner,Ak Hassan,5
Ak Hassan,Charles Exner,Charles Exner,1
Ak Hassan,Charles Exner,Uwi,12
Ak Hassan,Uwi,Charles Exner,1
Ak Hassan,Uwi,Uwi,15
Alondra Cano,Alondra Cano,Alondra Cano,54
Alondra Cano,Alondra Cano,Gary Schiff,3
Alondra Cano,Alondra Cano,Mohamed Farah,3
Alondra Cano,Gary Schiff,Alondra Cano,1
Alondra Cano,Gary Schiff,Gary Schiff,2
Alondra Cano,Gary Schiff,Mohamed Farah,571
Alondra Cano,Gary Schiff,Ronald W. Peterson,26
Alondra Cano,Gary Schiff,Uwi,7
Alondra Cano,Mohamed Farah,Alondra Cano,1
Alondra Cano,Mohamed Farah,Gary Schiff,641
Alondra Cano,Mohamed Farah,Mohamed Farah,4
Alondra Cano,Mohamed Farah,Ronald W. Peterson,29
Alondra Cano,Mohamed Farah,Uwi,18
Alondra Cano,Ronald W. Peterson,Gary Schiff,11
Alondra Cano,Ronald W. Peterson,Mohamed Farah,4
Alondra Cano,Ronald W. Peterson,Uwi,4
Alondra Cano,Uwi,Gary Schiff,3
Alondra Cano,Uwi,Mohamed Farah,1
Alondra Cano,Uwi,Uwi,17
Andrea Fahrenkrug,Andrea Fahrenkrug,Andrea Fahrenkrug,27
Andrea Fahrenkrug,Andrea Fahrenkrug,Bill Shroyer,2
Andrea Fahrenkrug,Andrea Fahrenkrug,Steffanie Musich,1
Andrea Fahrenkrug,Bill Shroyer,Andrea Fahrenkrug,8
Andrea Fahrenkrug,Bill Shroyer,Bill Shroyer,1
Andrea Fahrenkrug,Bill Shroyer,Steffanie Musich,397
Andrea Fahrenkrug,Bill Shroyer,Uwi,12
Andrea Fahrenkrug,Steffanie Musich,Andrea Fahrenkrug,5
Andrea Fahrenkrug,Steffanie Musich,Bill Shroyer,1047
